,people_served,elevation,cell,people_crossing_daily,injuries,deaths,near_city_centers,how_to_cross_river,len_impossible_dangerous_to_cross,time_to_nearest_safe_passage,hours_to_reach_hospital,hours_to_reach_medical_center,hours_to_reach_market,hours_to_reach_elementary,hours_to_reach_midlle_school,hours_to_reach_church,land_type_within_50m,soil_type,sand_availible,gravel_availible,stone_availible,timber_availible,stone_provided_by,sand_provided_by,gravel_provided_by,timber_provided_by,cement_provided_by,steel_provided_by,land_owner,ownership_permission,general_comments
0,1000-3000,1605m,Karengeri,150-300,No,No,-Gasango,now-Walking through river,1-3 months,2-3,2-6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Not,Not abvailable,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1793m,Rwamahwa,50-150,No,No,-Gashushura -Kiruri,now-Simple timber bridge,1-3 months,1-2,2-6,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 48m.-The level difference between two banks is 0.8m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between a flat and an elevated area.-The soil from the site is silt for both sides. Site Visit November 2017 --> Catholic Church  Secondary School and Feeder Road locate nearly the bridge site at the left side. Despite the high floods which occur in the rainy season  the community usually replace the washed away log timber with the new ones in order to keep the river passable. Any existence of the new safe bridge may benefit more the left side community than the right side one. In November 2017>>>>There are Catholic Church  Secondary School and Feeder Road nearly the bridge site at the left side. Despite the high floods which occur in the rainy season  the community usually replace the washed away log timber with the new ones in order to keep the river passable. Any existence of the new safe bridge may benefit more the left side community than the right side one.
0,3000-6000,973m,Nyange,>600,no,no,-Bugarama,now-Simple timber bridge,1-3 months,1-2,0.5,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 8 m-The proposed bridge span is 60 m-The level difference between two banks is approximately the same.-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the site-The river bed at the site is unstable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas-The soil from the site is clay for both sides-The site is located between flat areas.
0,6000-10000,1789m,Kavumu-Gatare,300-600,Many,two,-Gakeri -Gasoyo,now-Simple timber bridge,6-9 months,2-3,2-6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 34m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,3000-6000,2045m,Ruronde,>600,Many,No,-Gashubi -Nturo -Mubano -Kanyana,now-Simple timber bridge,6-9 months,1-2,1-2,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at the distance of 2m.-The proposed bridge span is approximately 28m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient for both sides.-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient -The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is silt for both sides.
0,3000-6000,1646m,Mburamazi,300-600,No,No,-Gisiza -Murunda,now-Simple timber bridge,3-6 months,<,0.5-1,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 60m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,500-1000,1527m,Murambi,< 50,Many,one,-Congo-Nil,now-Simple timber bridge,3-6 months,>3,>6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,500-1000,2271m,Remera,< 50,Many,No,-Rusebeya,now-Walking through river,6-9 months,>3,>6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is silt for both sides.
0,500-1000,1607m,Buvumo,50-150,No,No,-Rango,now-Walking through river,3-6 months,1-2,0.5-1,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,500-1000,1596m,Gatare-Giseke,50-150,Many,No,-Nyagasozi -Mburamazi -Tetero -Maranimpa -Muvugangoma,now-Simple timber bridge,6-9 months,2-3,1-2,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of 5m.-The proposed bridge span is approximately 38m.-The level difference between two banks is approximately 1m.-The space for foundation is sufficient for both sides.-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient (>Span/25).-There is no confluence area near the place.-The river bed at this site is stable  there is no possibility of erosion.-The bank profile of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,500-1000,1325m,Kabukuba,50-150,Many,No,-Kabukuba,now-Boat,9-12 months,2-3,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 150m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,6000-10000,1892m,Bugambo,50-150,Many,No,-Kinyababa,now-Walking through river,3-6 months,1-2,>6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 29m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides.
0,3000-6000,1704m,Rugimbu,150-300,-Many,No,-Gahama -Rwamabare -Kabana,now-Simple timber bridge,3-6 months,>3,>6,1-2 hours,2-6 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 45m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient.-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is silt soil for both sides. 90 people from Busengo and Janja Sectors use Mugari Bridge daily from nearby Sectors  most of the community that use Mugari bridge Carpent and other need to Access Kivuruga Market .
0,3000-6000,1691m,Butereri,150-300,-Many,No,-Busengo,now-Simple timber bridge,3-6 months,>3,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 62m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient.-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is silt soil for both sides. A number of 600 people from  Buteteri  Kamena and Mwumba villages that use th bridge weekly to access Rubanga Secondary school others access Rwunge Market (Rwand National Wide Needs Assessment 2018.)
0,3000-6000,1592m,Mubuga,150-300,-Many,No,-Mubuga,now-Simple timber bridge,3-6 months,2-3,0.5-1,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,hard rock,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient.-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is rock for one side and silt for other side.In Rwanda National Wide Needs Assessment-2018  we find that 115 people;15 people from Munanira village  40 people from Rutabo village ;50 people from Munyana cell and 10 people from Rwamambe cell use Nyarutovu Bridge to access Mugunga Secondary Schooland Rusoro health center.
0,3000-6000,1860m,Mwumba,150-300,-Many,No,-Busengo,now-Simple timber bridge,3-6 months,1-2,>6,0.5 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 8m.-The proposed bridge span is approximately 50m.-The level difference between two banks is 0.01m.-The space for foundation is not sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient.-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is silt soil for both sides. In Rwanda National Wide Needs Assessment 2018 we find that 60 poeple from Rwamaramagambo Sector and Bugaragara cell use Mugunga bridge daily as Adjacent community.
0,500-1000,1725m,Mbogo,150-300,No,No,-Rushashi -Mbogo,now-Simple timber bridge,1-3 months,1-2,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5-1 hours,bank-hilly,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two elevated areas.-The soil from the site is sandy soil for both sides. 20 people from rwankuba Sector use the bridge for visiting relatives daily
0,500-1000,1773m,Mubuga,50-150,-Many,2,-Mubuga,now-Walking through river,6-9 months,>3,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 63m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient.-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is rock for one side and silt for other side. There are 2200 people from 7 villages as Adjacent community;200 people from Mwanza village  400 Buhanga Village 100 people from Murambi village  600 people from Kanini village 500 people Mwurire village 80 people from Bitaba village 100 people from Nyarubande village and 120 people from Kabere village.
0,6000-10000,1848m,Gihanga,300-600,Many,No,-Rubaya -Kapitali -Gatsata,now-Simple timber bridge,3-6 months,1-2,>6,0.5 hours,0.5 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 45m.-The level difference between two banks is 3m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides. 3000 people from Gashiru and Nyamabare village access Karujanga market once a week located in Uganda Country.
0,3000-6000,1835m,Gishari,300-600,Many,No,-Rubaya,now-Simple timber bridge,6-9 months,1-2,>6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 20m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1873m,Kigogo,50-150,No,No,-Kiyovu -Yaramba,now-Simple timber bridge,1-3 months,<,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 13m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is not stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1513m,Kabeza,300-600,Many,No,-Busabira,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 65m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing a sign of erosion and it is located between two elevated areas.-The soil from the site is silt for both sides.
0,1000-3000,1884m,Gishambashayo,50-150,Some,No,-Gishambashayo -Gatsata,now-Simple timber bridge,1-3 months,1-2,2-6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 20m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides.
0,3000-6000,1691m,Buhoro,150-300,Two,No,-Karama,now-Walking through river,6-9 months,2-3,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is Hard rock for both sides.
0,3000-6000,1675m,Gahororo,50-150,No,No,-Karama,now-Simple timber bridge,1-3 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.9m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,500-1000,1712m,Kibingo,50-150,No,No,-Kibingo,now-Simple timber bridge,3-6 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1681m,Muhembe,50-150,No,No,-Karama,now-Simple timber bridge,1-3 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 20m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,1000-3000,1583m,Buvumo,150-300,No,No,-Mburamazi,now-Simple timber bridge,1-3 months,1-2,0.5-1,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1531m,Bitare,150-300,No,No,-Nyenyeri -Remera Rukoma,now-Simple timber bridge,3-6 months,2-3,2-6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 7m.-The proposed bridge span is approximately 60m.-The level difference between two banks is 0.03m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas-The soil from the site is silt for both sides.
0,1000-3000,1551m,Bitare,50-150,No,No,-Nyenyeri -Remera Rukoma,now-Simple timber bridge,3-6 months,2-3,2-6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas-The soil from the site is silt for both sides.
0,6000-10000,1665m,Birambo,>600,1,No,-Birambo -Nyakabuye,now-Simple timber bridge,1-3 months,1-2,0.5,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 6 m-The proposed bridge span is 20 m-The level difference between two banks is approximately 0.9m.-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The bank profile of the site is approximately partially cut off-The river bank of the site is not showing any sign of erosion and it is located between a hill for one side and an elevated area for the other side.-The soil from the site is a rock for both sides-The site is located between a hill and an elevated area.with hard rock for both sides.
0,500-1000,1954m,Byogo-Nyamugwagwa,150-300,1,No,-Musango -Mukungu -Gasenyi,now-Simple timber bridge,3-6 months,1-2,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 3 m-The proposed bridge span is 38m-The level difference between two banks is approximately 0.1m (Approximately the same)-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The bank profile of the site is approximately partially cut out-The river bank of the site is not showing any sign of erosion and it is located between two hills-The soil from the site is hard rock for both sides-The site is located between two hills with hard rock for both sides
0,1000-3000,1733m,Gatsata,50-150,Many,No,-Bisesero -Gatsata -Kamina,now-Walking through river,3-6 months,2-3,2-6,1-2 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,Clay ,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 7m-The proposed bridge span is 40m-The level difference between two banks is approximately 0.2m (Approximately the same)-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The bank profile of the site is approximately partially cut out-The river bank of the site is not showing any sign of erosion and it is located between two hills-The soil from the site is clay for both sides-The site is located between two hills with clay for both sides
0,3000-6000,1635m,Birambo,50-150,No,No,-Birambo -Nyakabuye,now-Simple timber bridge,1-3 months,1-2,0.5,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing crossing point at a distance of 2 m-The proposed bridge span is 16 m-The level difference between two banks is approximately the same.-The space for foundations is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the site-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two flat areas.-The soil from the site is silt for both sides-The site is located between two flat areas.
0,500-1000,1515m,Nyamirambo,150-300,No,No,-Mbuye -Mucyakabiri,now-Simple timber bridge,1-3 months,1-2,2-6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,3000-6000,1598m,Jandari-Butare,300-600,No,No,-Rutongo -Murara,now-Simple timber bridge,1-3 months,2-3,1-2,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 7m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between a flat and an elevated area.-The soil from the site is silt for both sides.
